FrameNo,StimulusName,Frustration Evidence
2.0,Emotient_Baseline,0.244413256645203
2.0,Emotient_Baseline,0.244413256645203
2.0,Emotient_Baseline,0.244413256645203
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
3.0,Emotient_Baseline,
